clip_id,video_path,skeleton_path,label
oz_0693,dummy.mp4,oz_football/oz_0693.npy,3
oz_0100,dummy.mp4,oz_football/oz_0100.npy,3
oz_0315,dummy.mp4,oz_football/oz_0315.npy,3
oz_0238,dummy.mp4,oz_football/oz_0238.npy,1
oz_0325,dummy.mp4,oz_football/oz_0325.npy,3
oz_0601,dummy.mp4,oz_football/oz_0601.npy,0
oz_0211,dummy.mp4,oz_football/oz_0211.npy,0
oz_0075,dummy.mp4,oz_football/oz_0075.npy,1
oz_0447,dummy.mp4,oz_football/oz_0447.npy,1
oz_0014,dummy.mp4,oz_football/oz_0014.npy,0
oz_0144,dummy.mp4,oz_football/oz_0144.npy,3
oz_0361,dummy.mp4,oz_football/oz_0361.npy,1
oz_0486,dummy.mp4,oz_football/oz_0486.npy,2
oz_0258,dummy.mp4,oz_football/oz_0258.npy,2
oz_0140,dummy.mp4,oz_football/oz_0140.npy,3
oz_0575,dummy.mp4,oz_football/oz_0575.npy,0
oz_0646,dummy.mp4,oz_football/oz_0646.npy,1
oz_0044,dummy.mp4,oz_football/oz_0044.npy,1
oz_0185,dummy.mp4,oz_football/oz_0185.npy,1
oz_0697,dummy.mp4,oz_football/oz_0697.npy,3
oz_0371,dummy.mp4,oz_football/oz_0371.npy,1
oz_0405,dummy.mp4,oz_football/oz_0405.npy,2
oz_0702,dummy.mp4,oz_football/oz_0702.npy,3
oz_0099,dummy.mp4,oz_football/oz_0099.npy,3
oz_0086,dummy.mp4,oz_football/oz_0086.npy,3
oz_0130,dummy.mp4,oz_football/oz_0130.npy,3
oz_0517,dummy.mp4,oz_football/oz_0517.npy,0
oz_0689,dummy.mp4,oz_football/oz_0689.npy,3
oz_0107,dummy.mp4,oz_football/oz_0107.npy,3
oz_0092,dummy.mp4,oz_football/oz_0092.npy,3
oz_0627,dummy.mp4,oz_football/oz_0627.npy,0
oz_0104,dummy.mp4,oz_football/oz_0104.npy,3
oz_0193,dummy.mp4,oz_football/oz_0193.npy,2
oz_0003,dummy.mp4,oz_football/oz_0003.npy,0
oz_0462,dummy.mp4,oz_football/oz_0462.npy,1
oz_0109,dummy.mp4,oz_football/oz_0109.npy,3
oz_0283,dummy.mp4,oz_football/oz_0283.npy,2
oz_0246,dummy.mp4,oz_football/oz_0246.npy,2
oz_0623,dummy.mp4,oz_football/oz_0623.npy,0
oz_0402,dummy.mp4,oz_football/oz_0402.npy,2
oz_0261,dummy.mp4,oz_football/oz_0261.npy,2
oz_0624,dummy.mp4,oz_football/oz_0624.npy,0
oz_0047,dummy.mp4,oz_football/oz_0047.npy,1
oz_0439,dummy.mp4,oz_football/oz_0439.npy,1
oz_0000,dummy.mp4,oz_football/oz_0000.npy,0
oz_0017,dummy.mp4,oz_football/oz_0017.npy,0
oz_0463,dummy.mp4,oz_football/oz_0463.npy,1
oz_0236,dummy.mp4,oz_football/oz_0236.npy,1
oz_0119,dummy.mp4,oz_football/oz_0119.npy,3
